,F1-Score,Accuracy,Estimators,Split
7022146,0.96,0.966666667,120,0.5
3689356,0.952380952,0.966666667,40,0.25
9820283,0.947368421,0.966666667,80,0.25
8627862,0.941176471,0.966666667,60,0.5
3051,0.9375,0.966666667,160,0.25
4869814,0.933333333,0.95,280,0.45
4189810,0.930232558,0.95,120,0.5
4072732,0.930232558,0.95,80,0.85
4439215,0.930232558,0.95,80,0.35
7105987,0.923076923,0.95,120,0.25
5493816,0.923076923,0.95,240,0.45
34852,0.923076923,0.95,20,0.5
4564789,0.918918919,0.95,140,0.2
4840979,0.918918919,0.95,100,0.45
8640572,0.914285714,0.95,260,0.25
1123666,0.914285714,0.95,40,0.25
3680861,0.913043478,0.933333333,140,0.2
9928036,0.913043478,0.933333333,60,0.45
8300032,0.904761905,0.933333333,100,0.5
9770427,0.904761905,0.933333333,60,0.95
8842764,0.9,0.933333333,60,0.2
6367803,0.9,0.933333333,60,0.2
2582715,0.9,0.933333333,60,0.6
5796228,0.9,0.933333333,380,0.5
7205803,0.896551724,0.95,160,0.25
2353428,0.896551724,0.95,20,0.25
6514286,0.894736842,0.933333333,60,0.25
6403464,0.894736842,0.933333333,80,0.25
2602041,0.894736842,0.933333333,20,0.85
251689,0.893617021,0.916666667,340,0.25
8284029,0.892857143,0.9,20,0.5
9340421,0.888888889,0.916666667,200,0.35
8682580,0.888888889,0.933333333,20,0.5
3691473,0.888888889,0.916666667,200,0.25
4996902,0.888888889,0.916666667,40,0.2
3023306,0.888888889,0.933333333,40,0.35
8549303,0.888888889,0.933333333,40,0.35
9118910,0.88372093,0.916666667,40,0.25
7123653,0.88372093,0.916666667,20,0.5
1644965,0.88372093,0.916666667,20,0.45
4602441,0.88372093,0.916666667,100,0.45
5551408,0.88372093,0.916666667,20,0.5
8307606,0.88372093,0.916666667,260,0.7
5464479,0.88372093,0.916666667,80,0.5
5237142,0.88372093,0.916666667,60,0.2
7469352,0.88372093,0.916666667,320,0.5
1898436,0.882352941,0.933333333,80,0.2
3498950,0.882352941,0.933333333,140,0.2
3206108,0.882352941,0.933333333,20,0.35
5817401,0.882352941,0.933333333,340,0.25
1358671,0.882352941,0.933333333,80,0.5
9828348,0.882352941,0.933333333,280,0.25
1186133,0.882352941,0.933333333,40,0.5
1548274,0.882352941,0.933333333,140,0.5
5945817,0.88,0.9,40,0.75
1893181,0.87804878,0.916666667,20,0.25
5403787,0.87804878,0.916666667,20,0.75
9365452,0.87804878,0.916666667,80,0.2
7602556,0.87804878,0.916666667,40,0.35
1211416,0.87804878,0.916666667,20,0.7
1735011,0.87804878,0.916666667,140,0.5
8600962,0.87804878,0.916666667,320,0.35
9554031,0.87804878,0.916666667,80,0.25
8814677,0.87804878,0.916666667,160,0.25
5615176,0.87804878,0.916666667,320,0.45
